Sheet Row,Book,Outcome,Engagement,Counts as Read,Page Flips,Reading Hours,Last Activity,Evidence,Review Note,Kindle Tag,Kindle ASIN
2,The Count of Monte Cristo,Stopped,Deep,No,1799,43.3,2024-02-21,Manual confirmation,Stopped around 60% after substantial engagement.,In Progress,B07DNZNVJN
3,Sapiens: A Brief History of Humankind,Completed,Deep,Yes,,,,Kindle library tag: Finished,,Finished,B00ICN066A
4,"Thinking, Fast and Slow",,,,,,,,,,
5,The Illuminatus Trilogy,,,,,,,,,,
6,Pain Free at Your PC: Using a Computer Doesn't Have to Hurt,,,,,,,,,,
7,Unsong,,,,,,,,,,
8,The Righteous Mind,Unknown / Inactive,Unknown,,,,,Existing inactivity status only,,In Progress,B0052FF7YM
9,Understanding Michael Porter,,,,,,,,,,
10,Stoner,,,,,,,,,,
11,Narcissus and Goldmund,,,,,,,,,,
12,House of Leaves,,,,,,,,,,
13,Range,,,,,,,,,,
14,The Slight Edge,,,,,,,,,,
15,On Writing Well,,,,,,,,,,
16,The Time Paradox,,,,,,,,,,
17,E-Myth Revisited,,,,,,,,,,
18,The War of Art,,,,,,,,,,
19,The Courage to Be Disliked,,,,,,,,,,
20,The Wheel of Osheim,,,,,,,,,,
21,The Steel Remains,,,,,,,,,,
22,Economic Fables,,,,,,,,,,
23,Light and Color in the Outdoors,,,,,,,,,,
24,The History and Social Influence of the Potato,,,,,,,,,,
25,Politics of Qat: Role of a Drug in Ruling Yemen,,,,,,,,,,
26,Feersum Endjinn,,,,,,,,,,
27,Riddley Walker,,,,,,,,,,
28,The Warden,,,,,,,,,,
29,Pedagogy of the Oppressed,,,,,,,,,,
30,Imagined Communities,,,,,,,,,,
31,Where Good Ideas Come From,,,,,,,,,,
32,This Explains Everything,,,,,,,,,,
33,Release It!,,,,,,,,,,
34,Building Microservices,,,,,,,,,,
35,"The Advantage, Enhanced Edition: Why Organizational Health Trumps Everything Else In Business",,,,,,,,,,
36,Coders at Work: Reflections on the Craft of Programming,,,,,,,,,,
37,The Final Circle of Paradise,,,,,,,,,,
38,Far Rainbow,,,,,,,,,,
39,Complexity: A Guided Tour,,,,,,,,,,
40,Thinking in Systems: A Primer ,,,,,,,,,,
41,Ficciones,,,,,,,,,,
42,The Cornerstone,,,,,,,,,,
43,A Soldier of the Great War,,,,,,,,,,
44,An Elegant Puzzle: Systems of Engineering Management,Completed,Deep,Yes,194,2.4,2024-12-08,Kindle library tag: Finished,,Finished,B07QYCHJ7V
45,"First, Break All the Rules: What the World's Greatest Managers Do Differently",,,,,,,,,,
46,The Shallows: What the Internet Is Doing to Our Brains,,,,,,,,,,
47,The Machine Stops,,,,,,,,,,
48,The Fifth Head of Cerberus,,,,,,,,,,
49,The Hero as Werwolf,,,,,,,,,,
50,The Island of Doctor Death and Other Stories and Other Stories,,,,,,,,,,
51,White Noise,Reading,Partial,No,313,8.8,2026-02-07,Recent Kindle activity,,In Progress,B001R11CAI
52,We Were Crewdogs - the Vietnam Collection,,,,,,,,,,
53,A New Kind of Science,,,,,,,,,,
54,Reflections on Relativity,,,,,,,,,,
55,A Fraction of the Whole: A Novel,,,,,,,,,,
56,A Confederacy of Dunces,,,,,,,,,,
57,The Innovator's Dilemma,,,,,,,,,,
58,Livewired: The Inside Story of the Ever-Changing Brain,,,,,,,,,,
59,Every Life Is on Fire,,,,,,,,,,
60,The Myth of Sisyphus,Unknown,Unknown,,,,,Libby loan only,,,
61,The Hero with a Thousand Faces,,,,,,,,,,
62,Quicksand,,,,,,,,,,
63,Your Inner Fish: A Journey Into the 3.5-Billion-Year History of the Human Body,Completed,Deep,Yes,541,13.5,2024-03-01,Kindle library tag: Finished,,Finished,B0010SKTRA
64,Reality Is Not What It Seems: The Journey to Quantum Gravity,,,,,,,,,,
65,The Order of Time,Completed,Deep,Yes,950,11.8,2021-03-17,Kindle library tag: Finished,,Finished,B07638M8JL
66,The Conquest of Gaul,,,,,,,,,,
67,The Quest for a universal Theory of Life,,,,,,,,,,
68,ChiRunning,,,,,,,,,,
69,Anatomy for Runners,,,,,,,,,,
70,Fast After 50,,,,,,,,,,
71,"The Origin of Wealth: Evolution, Complexity, and the Radical Remaking of Economics",Unknown / Inactive,Unknown,,,,,Existing inactivity status only,,In Progress,B077G7834G
72,Complexity: The Emerging Science at the Edge of Order and Chaos,,,,,,,,,,
73,Increasing Returns and Path Dependence in the Economy,,,,,,,,,,
74,The Golden Oecumene,,,,,,,,,,
75,Noir,,,,,,,,,,
76,Headcrash,,,,,,,,,,
77,,,,,,,,,,,
78,True Names,,,,,,,,,,
79,"Design Rules, Volume 1: The Power of Modularity",,,,,,,,,,
80,The Lesson,,,,,,,,,,
81,Aurora,,,,,,,,,,
82,The Fifth Season,Completed,Deep,Yes,,,,Kindle library tag: Finished,,Finished,B00H25FCSQ
83,Lagoon,,,,,,,,,,
84,Station Eleven,Completed,Deep,Yes,,,,Kindle library tag: Finished,,Finished,B00J1IQUYM
85,"The Long Way to a Small, Angry Planet",,,,,,,,,,
86,The Red Trilogy,,,,,,,,,,
87,Blindsight,Completed,Deep,Yes,,,,Kindle library tag: Finished,,Finished,B003K15EKM
88,,,,,,,,,,,
89,,,,,,,,,,,
90,The Dawn of Everything,Unknown / Inactive,Unknown,,,,,Existing inactivity status only,,In Progress,B08R2KL3VY
91,The Scientist and Engineer's Guide to Digital Signal Processing,,,,,,,,,,
92,"The Information: A History, a Theory, a Flood",,,,,,,,,,
93,The Goal: A Process of Ongoing Improvement - 30th Anniversary Edition,,,,,,,,,,
94,Commonweal,,,,,,,,,,
95,Jonathan Strange & Mr Norrell,Completed,Deep,Yes,2746,32.6,2022-05-06,Kindle library tag: Finished,,Finished,B003RRXXMA
96,Piranesi,,,,,,,,,,
97,Mindstorms,,,,,,,,,,
98,The Daughter of Time,,,,,,,,,,
99,Essence of Decision,,,,,,,,,,
100,A Pattern Language and The Timeless Way of Building,,,,,,,,,,
101,Deep Learning for Coders with fastai and PyTorch,,,,,,,,,,
102,Move: The Forces Uprooting Us,,,,,,,,,,
103,The Autobiography of Benjamin Franklin,,,,,,,,,,
104,The Cabinet,,,,,,,,,,
105,The Pyramid Principle: Logic in Writing and Thinking,,,,,,,,,,
106,Terra Ignota,,,,,,,,,,
107,An Absolutely Remarkable Thing,,,,,,,,,,
108,Entangled Life,,,,,,,,,,
109,Progress and Poverty,,,,,,,,,,
110,How to take good notes,,,,,,,,,,
111,The Well-Trained Mind,,,,,,,,,,
112,"The Call of the Wild and Free: Reclaiming the Wonder in Your Child's Education, A New Way to Homeschool",,,,,,,,,,
113,"The Brave Learner: Finding Everyday Magic in Homeschool, Learning, and Life",Unknown,Unknown,,,,,Libby loan only,,,
114,The Montessori Toddler: A Parent's Guide to Raising a Curious and Responsible Human Being,,,,,,,,,,
115,How to Talk So Kids Will Listen & Listen So Kids Will Talk,,,,,,,,,,
116,8 Great Smarts: Discover and Nurture Your Child's Intelligences,,,,,,,,,,
117,"Residues: Time, Change, and Uncertainty in Software Architecture",,,,,,,,,,
118,A Half-Built Garden,,,,,,,,,,
119,Underground Empire,,,,,,,,,,
120,Chokepoints,,,,,,,,,,
121,Smart Money,Completed,Deep,Yes,,,,Kindle library tag: Finished,,Finished,B0DJF9CZ2R
122,The catalyst,,,,,,,,,,
123,Field Guide to Understanding Human Error,,,,,,,,,,
124,Kitchen Confidential,Unknown,Unknown,,,,,Libby loan only,,,
125,No One Would Listen,,,,,,,,,,
126,The Smartest Guys in the Room,,,,,,,,,,
127,Lords of Finance,,,,,,,,,,
128,Too Big to Fail,,,,,,,,,,
129,Turn the Ship Around!,,,,,,,,,,
130,The Power Broker,,,,,,,,,,
131,Never Split the Difference,,,,,,,,,,
132,"Creativity, Inc.",,,,,,,,,,
133,What Do You Care What Other People Think?,,,,,,,,,,
134,Moral Mazes,,,,,,,,,,
135,If You Can't Measure It... Maybe You Shouldn't,,,,,,,,,,
136,Rules of the Game,,,,,,,,,,
137,The Best and the Brightest,,,,,,,,,,
138,The Making of a Manager,Unknown / Inactive,Unknown,,,,,Existing inactivity status only,,In Progress,B079WNPRL2
139,The Hard Thing About Hard Things,Completed,Deep,Yes,,,,Manual note: Read whole book,,,
140,Good to Great,Completed,Deep,Yes,,,,Manual note: Read whole book,,,
141,Staff Engineer: Leadership Beyond the Management Track,,,,,,,,,,
142,The Mythical Man-Month,,,,,,,,,,
143,Mindset: The New Psychology of Success,,,,,,,,,,
144,The Responsibility Process,,,,,,,,,,
145,Brick by Brick,Unknown,Unknown,,,,,Libby loan only,,,
146,The Infinite Game,,,,,,,,,,
147,Start with Why,,,,,,,,,,
148,One Simple Idea: Turn Your Dreams into a Licensing Goldmine While Letting Others Do the Work,,,,,,,,,,
149,The Art of Not Being Governed: An Anarchist History of Upland Southeast Asia (Yale Agrarian Studies Series,Unknown,Unknown,,,,,Libby loan only,,,
150,The Red and the Black,,,,,,,,,,
151,,,,,,,,,,,
152,,,,,,,,,,,
153,Titus Groan,,,,,,,,,,
154,Math Mind,,,,,,,,,,
155,The Transparent Society,,,,,,,,,,
156,The Power Broker,,,,,,,,,,
157,Recoding America,,,,,,,,,,
158,,,,,,,,,,,
159,The Logic of Collective Action,,,,,,,,,,
160,Governing the Commons,,,,,,,,,,
161,Thinking in Systems,,,,,,,,,,
162,The Square and the Tower,Unknown,Unknown,,,,,Libby loan only,,,
163,The Starfish and the Spider,,,,,,,,,,
164,Coordination Games,,,,,,,,,,
165,The Score,Reading,Unknown,No,,,,Existing reading status,,,
166,Red Plenty,Reading,Partial,No,468,8.3,2026-04-24,Recent Kindle activity,,,B0074HCLPE
167,Small Is Beautiful: Economics as if People Mattered,,,,,,,,,,
168,"Manipulation, what it is, how to stop it ",,,,,,,,,,
169,The Rise and Fall of the Great Powers,,,,,,,,,,
170,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",,,,,,,,,,
171,Little bosses everywhere,,,,,,,,,,
172,Bird by Bird,,,,,,,,,,
173,The Making of Global Capitalism: The Political Economy of American Empire,,,,,,,,,,
174,,,,,,,,,,,
175,The Immortal Life of Henrietta Lacks,Completed,Deep,Yes,1,0,2020-05-21,Kindle library tag: Finished,,Finished,B00338QENI
176,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch—A Humorous Fantasy About Armageddon",Completed,Deep,Yes,0,0,2020-06-15,Kindle library tag: Finished,,Finished,B0054LJGWS
177,Data and Reality: A Timeless Perspective on Perceiving and Managing Information in Our Imprecise World,Completed,Deep,Yes,1,0,2020-06-24,Kindle library tag: Finished,,Finished,B0086WGJ7W
178,The Color of Law: A Forgotten History of How Our Government Segregated America,Completed,Deep,Yes,660,10.9,2020-07-19,Manual confirmation,,In Progress,B01M8IWJT2
179,The Mercies,Completed,Deep,Yes,764,12,2020-09-09,Kindle library tag: Finished,,Finished,B07SGQ8M32
180,"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)",Unknown / Inactive,Light,No,1,0,2020-08-27,Kindle activity; no completion event,,,B004H1TQBW
181,Bullshit Jobs: A Theory,Completed,Deep,Yes,1220,15.9,2020-10-13,Kindle library tag: Finished,,Finished,B075RWG7YM
182,Nexus (The Nexus Trilogy Book 1),Completed,Deep,Yes,1384,10.3,2021-03-08,Kindle library tag: Finished,,Finished,B00TOZI7FM
183,Crux (The Nexus Trilogy Book 2),Completed,Deep,Yes,1580,11.3,2021-03-17,Kindle library tag: Finished,,Finished,B00TOZI7J8
184,Apex: Nexus Trilogy Book 3 (Nexus Arc),Completed,Deep,Yes,2249,16.1,2021-03-29,Kindle library tag: Finished,,Finished,B00K4BA758
185,Being Mortal: Medicine and What Matters in the End,Completed,Deep,Yes,823,11.9,2021-04-22,Kindle library tag: Finished,,Finished,B00JCW0BCY
186,"The Verge: Reformation, Renaissance, and Forty Years that Shook the World",Completed,Deep,Yes,1166,16.8,2021-09-08,Kindle library tag: Finished,,Finished,B08P1MF813
187,Dear Edward: A Read with Jenna Pick: A Novel,Completed,Deep,Yes,1019,9.5,2021-10-20,Kindle library tag: Finished,,Finished,B07QNGTXNV
188,The Obelisk Gate (The Broken Earth Book 2),Completed,Deep,Yes,1091,10.2,2021-12-17,Kindle library tag: Finished,,Finished,B01922I1GG
189,The Stone Sky (The Broken Earth Book 3),Completed,Deep,Yes,1139,11.2,2021-12-29,Kindle library tag: Finished,,Finished,B01N7EQOFA
190,The Intuitionist: A Novel,Completed,Deep,Yes,660,15.6,2022-02-19,Kindle library tag: Finished,,Finished,B007YUBCM4
191,Binti: The Complete Trilogy,Completed,Deep,Yes,758,12.2,2022-03-17,Kindle library tag: Finished,,Finished,B07DH9QFMY
192,"The Startup of You (Revised and Updated): Adapt, Take Risks, Grow Your Network, and Transform Your Career",Completed,Deep,Yes,501,8.3,2022-04-09,Kindle library tag: Finished,,Finished,B0050DIWHU
193,Star Maker,Completed,Deep,Yes,50,1,2022-04-02,Kindle library tag: Finished,,Finished,B07JQ4B7JS
194,Pushing Ice,Completed,Deep,Yes,1772,18.5,2022-05-25,Kindle library tag: Finished,,Finished,B0819W1L1W
195,Going Postal: A Novel of Discworld,Completed,Deep,Yes,1005,17.2,2022-06-12,Kindle library tag: Finished,,Finished,B000W965QM
196,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Stopped,Partial,No,122,2.4,2024-01-13,Manual confirmation,Abandoned.,In Progress,B00IHGVQ9I
197,"The Lies of Locke Lamora (Gentleman Bastards, Book 1)",Completed,Deep,Yes,1398,22.5,2022-07-01,Kindle library tag: Finished,,Finished,B000JMKNJ2
198,Finite and Infinite Games,Stopped,Partial,No,221,6.6,2025-01-09,Manual confirmation,Abandoned.,In Progress,B004W3FM4A
199,"Red Seas Under Red Skies (Gentleman Bastards, Book 2)",Completed,Deep,Yes,1417,30.9,2022-08-13,Kindle library tag: Finished,,Finished,B000UDNBS0
200,"Assassin's Apprentice (The Farseer Trilogy, Book 1)",Completed,Deep,Yes,1030,17,2022-08-28,Kindle library tag: Finished,,Finished,B000FBFMG6
201,"Royal Assassin (The Farseer Trilogy, Book 2)",Completed,Deep,Yes,1589,26.1,2022-09-14,Kindle library tag: Finished,,Finished,B000FBFMFW
202,"Assassin's Quest (The Farseer Trilogy, Book 3)",Completed,Deep,Yes,2285,35.8,2022-10-11,Kindle library tag: Finished,,Finished,B000FBFMFM
203,Ship of Magic (Liveship Traders Trilogy Book 1),Completed,Deep,Yes,2340,29,2022-10-29,Kindle library tag: Finished,,Finished,B000FC0XV4
204,Mad Ship (Liveship Traders Trilogy Book 2),Completed,Deep,Yes,2276,27.8,2022-11-06,Kindle library tag: Finished,,Finished,B000FBJF4Q
205,Ship of Destiny (Liveship Traders Trilogy Book 3),Completed,Deep,Yes,1964,29.9,2022-12-05,Kindle library tag: Finished,,Finished,B000FBJF50
206,Children of Time,Completed,Deep,Yes,1141,18.5,2023-01-28,Kindle library tag: Finished,,Finished,B07DN8BQMD
207,Children of Ruin (Children of Time Book 2),Completed,Deep,Yes,1266,17.7,2023-02-13,Kindle library tag: Finished,,Finished,B07H29P76R
208,All Systems Red: The Murderbot Diaries,Completed,Deep,Yes,408,4.9,2024-01-13,Kindle library tag: Finished,,Finished,B01MYZ8X5C
209,The Blade Itself (The First Law Trilogy Book 1),Completed,Deep,Yes,1625,17.9,2023-02-23,Kindle library tag: Finished,,Finished,B00TOT9LDK
210,Before They Are Hanged (The First Law Trilogy Book 2),Completed,Deep,Yes,1667,22.6,2023-03-06,Kindle library tag: Finished,,Finished,B00TOT9LIA
211,Last Argument of Kings (The First Law Trilogy Book 3),Completed,Deep,Yes,2043,25.2,2023-03-27,Kindle library tag: Finished,,Finished,B00TOT9LDA
212,The Cycle of Arawn: The Complete Trilogy,Stopped,Deep,No,1284,34.3,2023-06-23,Manual confirmation,Abandoned; does not remember the book.,In Progress,B00NS88E3G
213,The Married Man Sex Life Primer 2011,Completed,Deep,Yes,757,10.6,2024-01-13,Kindle library tag: Finished,,Finished,B004W0IRQ8
214,"Whole Earth Discipline: Why Dense Cities, Nuclear Power, Transgenic Crops, Restored Wildlands, and Geoengineering Are Necessary: Why Dense Cities, Nuclear ... and Geoengineering Are Necessary",Completed,Deep,Yes,655,23.3,2023-09-09,Kindle library tag: Finished,,Finished,B0044KLPJC
215,The Accidental Superpower: Ten Years On,Completed,Deep,Yes,833,11.2,2023-12-03,Kindle library tag: Finished,,Finished,B00JJ322NC
216,"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool (The ParentData Book 2)",Completed,Deep,Yes,1139,12.8,2025-03-08,Kindle library tag: Finished,,Finished,B07FZPTDJ3
217,Developer Hegemony: The Future of Labor,Completed,Deep,Yes,770,13.9,2023-12-03,Kindle library tag: Finished,,Finished,B0722H41SG
218,Expecting Better: Why the Conventional Pregnancy Wisdom Is Wrong--and What You Really Need to Know (The ParentData Book 1),Completed,Deep,Yes,620,13.2,2023-11-02,Kindle library tag: Finished,,Finished,B00AEBEQUK
219,An Unquiet Mind: A Memoir of Moods and Madness,Completed,Deep,Yes,518,6.6,2023-12-03,Kindle library tag: Finished,,Finished,B000SEH7ZO
220,Clear Thinking: Turning Ordinary Moments into Extraordinary Results,Completed,Deep,Yes,234,3.8,2023-11-21,Kindle library tag: Finished,,Finished,B0BRMPJ8DR
221,Bending Adversity: Japan and the Art of Survival,Completed,Deep,Yes,1304,14.1,2023-12-03,Kindle library tag: Finished,,Finished,B00DMCUZ26
222,Out (Vintage Crime/Black Lizard Anniversary Edition),Completed,Deep,Yes,1636,13.4,2023-11-20,Kindle library tag: Finished,,Finished,B09PZW9JX5
223,Pandora's Star (The Commonwealth Saga Book 1),Completed,Deep,Yes,4388,36.8,2023-12-16,Kindle library tag: Finished,,Finished,B000FC1AFC
224,Judas Unchained (The Commonwealth Saga Book 2),Completed,Deep,Yes,4365,32.6,2024-01-04,Kindle library tag: Finished,,Finished,B000FCKPJ4
225,The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,Completed,Deep,Yes,468,5.4,2024-02-21,Kindle library tag: Finished,,Finished,B01H4G2J1U
226,"The Montessori Baby: A Parent's Guide to Nurturing Your Baby with Love, Respect, and Understanding (The Parents' Guide to Montessori Book 2)",Partial,Partial,Yes,174,2.3,2024-02-01,Manual confirmation,Skimmed; learned enough to count it as read.,In Progress,B08GG24S89
